# ----------------------------------------
# Report CSV Export
# Account: quahjit
# Property: Nictsed
# ----------------------------------------
# 
# All Users
# Start date: 20211001
# End date: 20211207

First user medium,New users
(none),1681
organic,96
referral,96

# Start date: 20211001
# End date: 20211207
Day,(none),organic,referral
0000,0,0,0
0001,0,0,0
0002,0,0,0
0003,21,1,0
0004,231,3,20
0005,589,55,21
0006,154,1,8
0007,83,2,5
0008,9,1,5
0009,2,0,0
0010,79,2,0
0011,10,1,0
0012,2,1,1
0013,6,1,0
0014,2,0,0
0015,1,0,0
0016,0,0,0
0017,5,0,0
0018,3,0,0
0019,4,1,0
0020,5,0,0
0021,0,0,0
0022,0,1,0
0023,1,1,0
0024,6,1,0
0025,58,2,0
0026,160,2,0
0027,9,1,1
0028,16,1,2
0029,5,0,0
0030,5,0,0
0031,2,0,0
0032,3,0,0
0033,1,1,0
0034,1,0,0
0035,1,0,1
0036,1,0,0
0037,1,0,0
0038,2,0,0
0039,0,0,0
0040,0,0,0
0041,2,2,0
0042,0,0,0
0043,0,0,0
0044,1,0,0
0045,1,0,0
0046,1,2,0
0047,1,0,0
0048,2,0,0
0049,0,0,0
0050,0,0,1
0051,0,0,0
0052,0,0,0
0053,2,0,0
0054,2,2,0
0055,1,0,0
0056,2,0,0
0057,0,0,0
0058,1,0,0
0059,0,0,0
0060,3,1,0
0061,5,2,0
0062,2,0,0
0063,2,1,0
0064,2,0,1
0065,13,0,1
0066,51,4,8
0067,109,3,21

# All Users
# Start date: 20211001
# End date: 20211207

First user medium,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Conversions,Total revenue
(none),1681,2368,0.6441784548422198,1.4045077105575325,166.4988137603796,41524,0,0
organic,96,61,0.5,0.6354166666666666,159.04166666666666,1656,0,0
referral,96,79,0.6752136752136753,0.8229166666666666,28.4375,912,0,0
